@list,名称,描述,稀有度,效果ID列表,图标,风味文字,出现池
id,name,description,rarity,effect_ids,icon,flavor_text,pool
i32,text,text,Rarity,"[&Effects]",text,text,text
1,破碎的护身符,提供微弱的保护,Common,"[5]","relic_broken_amulet","这块护身符已经碎裂，但似乎还残留着些许魔力。",普通
2,幸运硬币,增加金币获取,Common,"[13]","relic_lucky_coin","据说带来好运的硬币，也许是前人留下的。",普通
3,铁匠手套,轻微提升攻击力,Common,"[8]","relic_blacksmith_glove","沾满煤灰的手套，散发着铁匠铺的气息。",普通
4,旅行者斗篷,提供基础防御,Uncommon,"[9]","relic_traveler_cloak","经历过无数风雨的斗篷，依然坚韧。",普通
5,燃烧之心,攻击附带燃烧效果,Uncommon,"[1,8]","relic_burning_heart","一颗永不熄灭的心脏碎片。",精英
6,冰霜结晶,攻击附带冰冻效果,Uncommon,"[2,7]","relic_frost_crystal","永远冰冷的蓝色结晶。",普通
7,毒蛇之牙,攻击附带中毒效果,Rare,"[3]","relic_snake_fang","来自远古毒蛇的尖牙。",精英
8,吸血鬼之牙,攻击时恢复生命,Rare,"[12]","relic_vampire_fang","传说中吸血鬼留下的遗物。",精英
9,龙鳞护甲,大幅提升防御力,Rare,"[9,9]","relic_dragon_scale","从巨龙身上剥落的鳞片。",BOSS
10,泰坦之心,大幅提升攻击力和生命,Epic,"[8,8,12]","relic_titan_heart","远古泰坦的心脏化石。",BOSS
11,时光沙漏,延长所有增益效果持续时间,Epic,"[6,8,9]","relic_hourglass","能操控时间流逝的神秘沙漏。",BOSS
12,暗影斗篷,获得隐身能力,Epic,"[15]","relic_shadow_cloak","由纯粹暗影编织而成的斗篷。",精英
13,凤凰之羽,死亡时复活一次,Legendary,"[12,11]","relic_phoenix_feather","传说中凤凰掉落的羽毛，蕴含重生之力。",BOSS
14,命运骰子,随机获得强力效果,Legendary,"[8,9,5,12]","relic_fate_dice","能改变命运的神秘骰子。",BOSS
15,永恒之火,免疫所有负面效果,Legendary,"[11,5]","relic_eternal_flame","永不熄灭的神圣火焰。",BOSS
