@list,name,description,character_id,required_affection_level,required_choices,is_good_ending
id,text,text,&Characters,i32,[&Choices],bool
1,雪的真结局,阳太与雪互相告白，两人开始交往，从此过上了幸福的生活,1,5,"[1,4,7,10]",true
2,雪的普通结局,阳太与雪成为了好朋友，虽然没有成为恋人，但友情长存,1,3,"[1,4,7]",true
3,雪的坏结局,阳太错过了与雪的机会，雪最终选择了别人,1,1,"[2,5,8]",false
4,麻衣的好结局,阳太与麻衣成为了最好的朋友，一起参加各种活动,3,3,"[]",true
5,凉子的真结局,阳太解开了凉子的心结，两人开始了一段神秘而浪漫的恋情,8,3,"[]",true
6,凉子的普通结局,凉子依然保持神秘，但偶尔会向阳太敞开心扉,8,2,"[]",true
7,健太的友情结局,阳太与健太成为了挚友，一起读书讨论人生,4,3,"[]",true
8,孤独结局,阳太没有与任何人建立深厚的关系，独自度过了高中生活,0,0,"[]",false
9,后宫结局,阳太与所有角色都保持着良好的关系，成为了学校的风云人物,0,0,"[]",true
10,神秘结局,阳太发现了学校隐藏的秘密，开启了一段不可思议的冒险,8,3,"[]",true
